SN,Gender,AGE,Recency_Service,Recency_Product,Bill_Service,Bill_Product,Success,AGE_Encoded,Total_Recency,Total_Bill,Recency_Ratio,Bill_Ratio
75,1,<=45,7,0,7.17,0.99,0,1,7,8.16,7.0,3.6030150753768844
76,1,<=55,16,25,5.07,3.4,0,2,41,8.47,0.6153846153846154,1.1522727272727273
77,2,<=45,3,15,16.8,2.55,1,1,18,19.35,0.1875,4.732394366197184
78,2,<=55,17,24,9.65,1.11,0,2,41,10.76,0.68,4.57345971563981
79,2,<=45,4,10,6.04,0.6,0,1,14,6.64,0.36363636363636365,3.775
80,2,<=55,8,23,4.64,1.75,0,2,31,6.39,0.3333333333333333,1.6872727272727273
81,2,<=55,8,22,1.1,0.85,0,2,30,1.9500000000000002,0.34782608695652173,0.5945945945945946
82,2,<=55,3,22,6.84,0.78,0,2,25,7.62,0.13043478260869565,3.842696629213483
83,2,<=55,14,25,10.47,1.66,0,2,39,12.13,0.5384615384615384,3.93609022556391
84,2,<=30,3,2,18.3,1.5,1,0,5,19.8,1.0,7.32
85,1,<=30,4,2,11.02,1.02,0,0,6,12.04,1.3333333333333333,5.455445544554455
86,1,<=55,28,22,11.79,1.61,0,2,50,13.399999999999999,1.2173913043478262,4.517241379310344
87,1,<=45,8,0,4.67,1.0,0,1,8,5.67,8.0,2.335
88,1,<=45,14,11,7.47,2.32,0,1,25,9.79,1.1666666666666667,2.25
89,2,<=45,9,7,15.07,3.67,1,1,16,18.740000000000002,1.125,3.226980728051392
90,2,<=30,6,4,11.73,0.59,0,0,10,12.32,1.2,7.3773584905660385
91,2,<=55,1,19,4.4,0.8,0,2,20,5.2,0.05,2.4444444444444446
92,2,<=45,0,16,15.44,2.25,1,1,16,17.689999999999998,0.0,4.75076923076923
93,2,<=30,1,8,8.4,0.83,0,0,9,9.23,0.1111111111111111,4.590163934426229
94,2,<=45,15,1,11.23,5.93,0,1,16,17.16,7.5,1.6204906204906206
95,2,<=30,1,0,4.4,0.76,0,0,1,5.16,1.0,2.5
96,1,<=55,15,2,9.55,1.41,1,2,17,10.96,5.0,3.962655601659751
97,1,<=30,6,6,1.3,0.65,0,0,12,1.9500000000000002,0.8571428571428571,0.787878787878788
98,1,<=45,6,12,4.85,0.6,0,1,18,5.449999999999999,0.46153846153846156,3.0312499999999996
99,1,<=45,7,5,16.65,2.17,1,1,12,18.82,1.1666666666666667,5.252365930599368
100,1,<=45,16,6,12.65,1.89,0,1,22,14.540000000000001,2.2857142857142856,4.377162629757786
